Date,Open,High,Low,Close,Adj Close,Volume
2020-05-21,31.170000,31.370001,30.260000,30.480000,30.480000,4181700
2020-05-22,30.639999,30.639999,29.740000,30.340000,30.340000,4408400
2020-05-26,31.170000,31.309999,30.750000,30.940001,30.940001,5107500
2020-05-27,31.620001,31.680000,30.420000,31.070000,31.070000,6094200
2020-05-28,31.500000,31.500000,30.809999,30.910000,30.910000,6239000
2020-05-29,30.270000,30.520000,29.940001,30.440001,30.440001,5037600
2020-06-01,30.660000,31.629999,30.540001,31.580000,31.580000,4063000
2020-06-02,32.169998,32.430000,32.000000,32.250000,32.250000,3336900
2020-06-03,33.470001,34.020000,33.360001,33.750000,33.750000,4547800
2020-06-04,33.340000,34.070000,33.020000,33.869999,33.869999,4748700
2020-06-05,35.639999,36.340000,35.610001,35.990002,35.990002,7336300
2020-06-08,37.369999,37.660000,36.470001,37.650002,37.650002,6611200
2020-06-09,35.779999,35.910000,35.160000,35.330002,35.330002,5614800
2020-06-10,35.160000,35.169998,34.360001,34.380001,34.380001,3583400
2020-06-11,32.930000,33.340000,31.379999,31.400000,31.400000,6454700
2020-06-12,33.110001,33.450001,32.080002,32.959999,32.959999,4927200
2020-06-15,31.690001,33.209999,31.420000,32.990002,32.990002,3271900
2020-06-16,33.689999,33.980000,32.750000,33.060001,33.060001,6094300
2020-06-17,33.000000,33.099998,32.230000,32.250000,32.250000,2318500
2020-06-18,32.009998,32.500000,31.900000,32.410000,32.410000,2057200
2020-06-19,32.919998,32.950001,31.950001,32.040001,32.040001,2780400
2020-06-22,32.389999,32.619999,32.230000,32.580002,32.580002,2127300
2020-06-23,33.290001,33.450001,32.939999,33.040001,33.040001,2770000
2020-06-24,32.259998,32.259998,31.209999,31.219999,31.219999,4014000
2020-06-25,31.290001,31.900000,31.170000,31.900000,31.900000,3138300
2020-06-26,31.660000,31.730000,30.709999,30.879999,30.879999,4990000
2020-06-29,31.129999,31.469999,30.969999,31.340000,31.340000,4271400
2020-06-30,30.299999,30.680000,29.959999,30.450001,30.450001,6114000
2020-07-01,30.780001,31.260000,30.469999,30.540001,30.540001,4825100
2020-07-02,31.190001,31.400000,30.709999,30.760000,30.760000,5245800
2020-07-06,31.790001,31.889999,31.219999,31.500000,31.500000,5203900
2020-07-07,31.280001,31.299999,30.600000,30.660000,30.660000,2792200
2020-07-08,30.639999,31.110001,30.600000,30.900000,30.900000,3015000
2020-07-09,30.650000,30.670000,29.450001,29.510000,29.510000,4550400
2020-07-10,29.860001,30.320000,29.799999,30.309999,30.309999,3424400
2020-07-13,30.770000,30.950001,30.299999,30.430000,30.430000,3478500
2020-07-14,30.500000,31.430000,30.420000,31.410000,31.410000,2814900
2020-07-15,31.830000,32.020000,31.510000,31.809999,31.809999,2394400
2020-07-16,31.480000,31.610001,31.150000,31.280001,31.280001,1879000
2020-07-17,31.139999,31.320000,30.750000,30.809999,30.809999,2743100
2020-07-20,30.799999,30.980000,30.440001,30.459999,30.459999,3144200
2020-07-21,30.889999,31.910000,30.840000,31.520000,31.520000,3129100
2020-07-22,30.920000,31.010000,30.559999,30.969999,30.969999,2747000
2020-07-23,30.570000,30.809999,30.400000,30.740000,30.740000,3757600
2020-07-24,30.559999,30.870001,30.440001,30.590000,30.590000,2529100
